SOURCE,TARGET,SOURCE_LABEL,TARGET_LABEL
67,35733,marco,catch
67,9446,marco,chx
67,29191,marco,douggreen
67,1,marco,Dries
67,693738,marco,Fabianx
67,227,marco,killes@www.drop.org
67,183211,marco,plach
104,23,christefano,moshe weitzman
104,147794,christefano,oseldman
104,180064,christefano,System Message
188,10,bertboerland,Steven
188,1,bertboerland,Dries
188,17943,bertboerland,Heine
188,243897,bertboerland,mauritsl
188,2663,bertboerland,BÃ¨r Kessels
227,10,killes@www.drop.org,Steven
227,2,killes@www.drop.org,Kjartan
345,1678604,drupalwatchdog,moshe
345,67,drupalwatchdog,marco
409,67,Jeremy,marco
409,1678604,Jeremy,moshe
740,65088,heather,add1sun
740,66894,heather,stella
740,52142,heather,scor
740,41502,heather,yoroy
972,202205,deekayen,cYu
2663,831,BÃ¨r Kessels,JonBob
2663,92012,BÃ¨r Kessels,Moshe
2663,10,BÃ¨r Kessels,Steven
2696,147331,batje,zzolo
3064,1,drumm,Dries
3064,23,drumm,moshe weitzman
3064,94675,drumm,nnewton
3064,36762,drumm,greggles
3064,33420,drumm,aaron
3313,9446,joshk,chx
3313,3064,joshk,drumm
3555,937918,Robert Castelo,walker
3555,9446,Robert Castelo,chx
4063,1,kbahey,Dries
4166,59215,GÃ¡bor Hojtsy,pp
4166,258568,GÃ¡bor Hojtsy,YesCT
4166,1,GÃ¡bor Hojtsy,Dries
4166,2,GÃ¡bor Hojtsy,Kjartan
4166,10,GÃ¡bor Hojtsy,Steven
4166,23,GÃ¡bor Hojtsy,moshe weitzman
4166,83,GÃ¡bor Hojtsy,Gerhard Killesreiter
4166,24967,GÃ¡bor Hojtsy,webchick
4367,4382,DarKFlameS,rfsbsb
4420,23,mikeryan,moshe weitzman
4481,112345,nedjo,kattekrab
4481,9446,nedjo,chx
4481,409,nedjo,Jeremy
4481,1,nedjo,Dries
4649,26979,oadaeh,merlinofchaos
4649,241634,oadaeh,tim.plunkett
4649,36762,oadaeh,greggles
4649,26398,oadaeh,Crell
4649,9446,oadaeh,chx
4649,35821,oadaeh,quicksketch
4649,54136,oadaeh,sun
5973,19668,trailerparkopera,Owen Barton
6225,112345,claudinec,kattekrab
6225,24967,claudinec,webchick
6225,218525,claudinec,cafuego
6225,65776,claudinec,xjm
6225,139189,claudinec,realityloop
7074,30906,seanr,rfay
7074,16496,seanr,eaton
7074,24967,seanr,webchick
7074,9446,seanr,chx
8204,4166,sajt,GÃ¡bor Hojtsy
8204,23728,sajt,Sweetchuck
8204,109248,sajt,alippai
8204,613760,sajt,balintk
8389,4166,Kristen Pol,GÃ¡bor Hojtsy
8389,4299,Kristen Pol,Jose Reyero
8389,376463,Kristen Pol,Aimee Degnan
8389,54136,Kristen Pol,sun
8389,426416,Kristen Pol,hefox
8737,262198,xqus,klausi
8791,1347126,sillygwailo,ACF
9446,4166,chx,GÃ¡bor Hojtsy
9446,1,chx,Dries
9446,10,chx,Steven
9446,2,chx,Kjartan
9446,237876,chx,dlhubler
9446,46549,chx,dww
9740,8355,pfaocle,ixis.dylan
9740,4481,pfaocle,nedjo
